Affectation;Sous-Affectation;Désignation;Informations liées (Identification, Désignation, N° de série);Identification;Gamme;Tolérance;Avis;Etat d'utilisation;Date d'intervention;Prochaine date d'intervention;Périodicité;N° de série;Commentaire
EMI;ZONE EMI;Thermohygrometer;;CEMI0041;PERDU;Approach device;;Non soumis à l'étalonnage;;;;NA;Perdu
EMI;ZONE EMI;Thermohygrometer;;CEMI0042;Approach device;Approach device;;Non soumis à l'étalonnage;;;;NA;
EMI;ARMOIRE;Standard leak;;CEMI0043;Réformé;Réformé;;Réformé;;;;NA;
EMI;ARMOIRE;Standard leak;;CEMI0044;Réformé;Réformé;;Réformé;;;;NA;
EMI;ARMOIRE;Standard leak;;CEMI0045;Réformé;Réformé;;Réformé;;;;NA;
EMI;ARMOIRE;Standard leak;;CEMI0046;Réformé;Réformé;;Réformé;;;;NA;
EMI;ARMOIRE;Standard leak;;CEMI0047;Réformé;Réformé;;Réformé;;;;NA;
EMI;ARMOIRE;Standard leak;;CEMI0048;Réformé;Réformé;;Réformé;;;;NA;
EMI;ARMOIRE;Standard leak;;CEMI0049;Réformé;Réformé;;Réformé;;;;NA;
EMI;ARMOIRE;Standard leak;;CEMI0050;Réformé;Réformé;;Réformé;;;;NA;
EMI;ARMOIRE;Standard leak;;CEMI0051;Réformé;Réformé;;Réformé;;;;NA;
EMI;ARMOIRE;Standard leak;;CEMI0052;Réformé;Réformé;;Réformé;;;;NA;
EMI;ARMOIRE;Standard leak;;CEMI0053;Réformé;Réformé;;Réformé;;;;NA;
EMI;ARMOIRE;Standard leak;;CEMI0054;Réformé;Réformé;;Réformé;;;;NA;
EMI;ARMOIRE;Standard leak;;CEMI0055;Réformé;Réformé;;Réformé;;;;NA;
EMI;MINI-SHED N°4;Flame Ionization Detector (F.I.D.);;CEMI0056;0-50 ppm C;±0,5 %;Conforme;Etalonnage/Vérification en cours;04/10/2021 00:00:00;04/10/2022 00:00:00;12 Mois;UU3M4R0N;
EMI;MINI-SHED N°5;Flame Ionization Detector (F.I.D.);;CEMI0057;0-50 ppm C;±0,5 %;Conforme;Etalonnage/Vérification en cours;05/10/2021 00:00:00;05/10/2022 00:00:00;12 Mois;9D3E144U;
EMI;FID ORVR ;Flame Ionization Detector (F.I.D.);;CEMI0058;0-500 ppm C;±0,5 %;Conforme;Retard (dans tolérance) Etalonnage/Vérification;07/10/2021 00:00:00;07/10/2022 00:00:00;12 Mois;N75CXSTN;
EMI;ZONE EMI;Thermohygrometer;;CEMI0059;-10/+40 °C 0/100 %HR;NA;;Non soumis à l'étalonnage;;;;180126225;
EMI;EMI-007;Flame Ionization Detector (F.I.D.);;CEMI0060;0-50 ppm C;±0,5 %;Conforme;Retard (dans tolérance) Etalonnage/Vérification;07/10/2021 00:00:00;07/10/2022 00:00:00;12 Mois;RSSRAVB8;
EMI;EMI-007;Thermostatic chamber;;CEMI0061;18/42 °C;±1,5 °C;Conforme;En service;15/09/2022 09:46:53;15/09/2023 09:46:53;12 Mois;6022197250010;"Réunion 02/02/2018: Utilisation avec Restriction de 16 à 40°C. Prévoir intervention maintenance.

Gammes à clarifier.


02/05/2018: TOL: +/- 1,5 °C à +/- 2°C.
15/05/2018: TOL: +/- 2°C à +/- 1,5°C suite au mail de M.MERCIER.

12/07/2018:  Correction de l'offset de l'enceinte à 45°C. 

18/07/2018: Pierre voit avec MAxime MErcier Fiori.

05/11/2018: Calibration à faire en début année 2019, En attendant définir la surface d'étalonnage balissage (paraport au bati).

"
EMI;EMI-007;Pressure sensor;;CEMI0062;970/1050 hPa;±5 hPa;Conforme;En service;18/07/2022 09:34:17;18/07/2024 09:34:17;24 Mois;NC00CB01128;
EMI;EMI-007;Pressure sensor;;CEMI0063;800/1200 hPa;±5 hPa;Conforme;En service;18/07/2022 09:50:57;18/07/2024 09:50:57;24 Mois;NC00CC01128;
EMI;EMI-007;Volumeter;;CEMI0064;400/700 L;±1 %RV;;Non soumis à l'étalonnage;;;;;
SCR;A-SCR-02;Torquemeter;;CEMI0065;0,5 / 2,5 Nm;±6 %RV;Conforme;En service;22/03/2022 15:48:27;22/03/2024 15:48:27;24 Mois;G050161;
EMI;FEP-051 (ORVR 2);Flame Ionization Detector (F.I.D.);;CEMI0066;0-500 ppm C;±0,5 %;Conforme;Retard (dans tolérance) Etalonnage/Vérification;08/07/2021 00:00:00;08/10/2022 00:00:00;15 Mois;S210236405000010;
EPE;FEP-020 SIMTEC 20 HZ;Climatic chamber;;CEPE0001;20/55 °C;±2 °C;Conforme après intervention;En service;09/05/2022 09:54:33;09/05/2023 09:54:33;12 Mois;NA;"09/10/2017:

40°C ET 50°C Mauvaise homogénéité. 
PA: JG; voir équipe maintenance pour voir possibilité de gérer les ventilo. 
Moyen utilisable sous restriction: Utilisation de thermocouple



26/02/2018: Voir l'enceinte pourquoi l'enceinte met 5 minutes pour réguler.

02/05/2018: maintenance en cours. Relais thermique ATEX HS,

12/07/2018: vérifier à effectuer avant étalonnage par A+ métrologie.

"
EPE;FEP-020 SIMTEC 20 HZ;Pressure sensor;;CEPE0002;Approach Device;Approach Device;;Non soumis à l'étalonnage;;;;NA;
EPE;FEP-020 SIMTEC 20 HZ;Pressure sensor;;CEPE0003;Perdu;Perdu;;Perdu;;;;NA;
EPE; CANNE VIDE FUT;Volumeter;;CEPE0004;Réformé;Réformé;;Réformé;;;;NA;
FEP;EPE-015 (BANC DE MOUSSAGE);Chronometer;;CEPE0005;0/15 min;±1 s;Conforme;En service;10/05/2021 10:13:44;10/05/2023 10:13:44;24 Mois;NA;
FEP;EPE-015 (BANC DE MOUSSAGE);Pressure gauge;;CEPE0006;-1/+3 bar;±10 mbar;Conforme;En service;01/06/2021 11:04:13;01/06/2023 11:04:13;24 Mois;1000011904;
EPE;EPE-014;Soaking room;;CEPE0007;20/80 °C;Approach device;;Réformé;;;;NA;02/05/2018: Changement d'état d'utilisation + statut en: Non soumis à l'étalonnage + Moyen d'approche.
IVC;EPE-09\ IVC;Enceinte thermostatique;;CEPE0008;55°C;± 5°C;Conforme;En service;19/08/2019 16:37:29;19/08/2023 16:37:29;48 Mois;2004031;"40°C NON CONFORME, MAIS CONFORME à 53°C et 55°C UTILISABLE SUR C'EST POINT.
"
FEP;TABLE;RVP measuring device;;CEPE0010;0/20 Psi;±0,2 Psi;Conforme;En service;16/06/2022 15:26:06;16/06/2023 15:26:06;12 Mois;16-08-2173;
EPE;FEP-037 (BANC MOUSSAGE)RVP?;Pressure gauge;;CEPE0011;Réformé;Réformé;;Réformé;;;;11-09-237;
EPE;EPE-012 (RVP);RVP measuring device;;CEPE0012;0/20 Psi;±0,2 Psi;Conforme;Alerte Etalonnage/Vérification;16/12/2021 13:26:50;16/12/2022 13:26:50;12 Mois;11-09-237;
EPE;FEP-037 (BANC MOUSSAGE)RVP?;Chronometer;;CEPE0013;Réformé;Réformé;;Réformé;;;;NA;
EPE;FEP-020 SIMTEC 20 HZ;Gas flowmeter;"Identification : CLAB0068, N° de Série :  1A69376
Identification : CLAB0174, N° de Série : 169D52D";CEPE0014;0/100 L/min;±1 %FS;Conforme;En service;04/05/2021 16:13:33;04/05/2023 16:13:33;24 Mois;SLA5853S2NAB2C2A1;"16/07/2019:  CEPE0014 le capteur seul conforme. Refaire l'étalonnage pour voir si la chaine de mesure déterminer l'élément perturbateur.(SEM 30)
"
EPE;MOYEN DE DÉFORMATION ACTIRIS;Scanner;;CEPE0015;Réformé;Réformé;;Réformé;;;;710075;"12/12/17: karim.  Réformé suite à la réparation et changement de la caméra.
Alors créaction d'un nouveau numéro le CEPE0034."
EPE;ARMOIRE;Multimeter;;CEPE0016;"0/500 Ohm; 0/5 kOhm; 0/50 V DC; 0/500 mA DC";"±0,1 Ohm; ±1 Ohm; ±20 mV; ±1 mA ";;Réformé;;;;NA;"Réunion 02/02/2018: Mutlimètre NON conforme:

Fusible HS . remplacement du fusible Chez a+ métrologie le mardi 06/02/2018,"
EPE;A-ATEX-04;Inclinometer;;CEPE0022;0/90 °;±0,10 °;Conforme;En service;06/12/2021 00:00:00;06/12/2023 00:00:00;24 Mois;15030300058;
EPE;FEP-020 SIMTEC 20 HZ;Pressure sensor;"Identification : CLAB0068, N° de Série :  1A69376
Identification : CLAB0019, N° de Série : 143E592";CEPE0023;-400/+400 mbar;±0,5 mbar;;Réformé;;;;NA;
EPE;FEP-020 SIMTEC 20 HZ;Gas flowmeter;"Identification : CLAB0068, N° de Série :  1A69376
Identification : CLAB0453, N° de Série : 1C00220";CEPE0024;7,1/283 L/min;Approach device;;Non soumis à l'étalonnage;;;;NA;
EPE;FEP-020 SIMTEC 20 HZ;Gas flowmeter;;CEPE0025;0/150 L/min;±45 L/min;Conforme;Sommeil;18/12/2017 11:39:50;;24 Mois;M17217005;"A n'utiliser qu'à l'air.
Banc perte de charge"
FEP;FEP-011;Scale;;CEPE0026;0/300 kg;±50 g;Conforme;En service;14/04/2022 08:46:08;14/04/2024 08:46:08;24 Mois;0100415859;
EPE;FEP-020 SIMTEC 20 HZ;Volumeter;;CEPE0027;Approach device;Approach device;;Non soumis à l'étalonnage;;;;NA;
EPE;FEP-020 SIMTEC 20 HZ;Pressure sensor;"Identification : CLAB0068, N° de Série :  1A69376
Identification : CLAB0147, N° de Série : 12FC022";CEPE0028;-400/+400 mbar;±0,5 mbar;Conforme;En service;26/04/2022 15:51:05;26/04/2024 15:51:05;24 Mois;NA;
FEP;EPE-015;Scale;;CEPE0029;0/30 kg;±1 g;Conforme;En service;12/01/2021 15:59:05;12/01/2023 15:59:05;24 Mois;0100468729;
EPE;A-ATEX-04;Thickness gauge;;CEPE0030;0/100 mm;±4 µm;Conforme;En service;14/02/2017 00:00:00;;99999 Nb jours sortis actifs;NA;
EPE;CANNE VIDE-FUT;Volumeter;;CEPE0031;0/120 L;±1 %RV;;Réformé;;;;NA;"20/10/2017: revu de NC
volu compteur: demandé0-120L +/-1% RV
non conforme à 5 L conforme à partir de 20 L
Décision: utilisation uniquement de 20 à 120L.
Mettre une affiche: Utilisation uniquement sur le gamme 20-120L


19/07/2019: Achat nouveaux volucompteur. (J-P Rolinat).

"
FEP;A-ATEX-03;Gas flowmeter;;CEPE0032;7,1/283 L/min;±2 %FS;Conforme;En service;02/12/2021 15:00:00;02/12/2023 15:00:00;24 Mois;12253;
EPE;FEP-020 SIMTEC 20 HZ;Gas flowmeter;;CEPE0033;7,1/283 L/min;±2 %FS;Conforme;En service;28/06/2022 00:00:00;28/12/2024 00:00:00;30 Mois;12335;
EPE;MOYEN DE DÉFORMATION ACTIRIS;Scanner;;CEPE0034;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;Sommeil;08/11/2017 11:18:54;;12 Mois;703100;
EPE;A-ATEX-02;Field meter;;CEPE0035;-20/+20 kV;± 5% RV;Conforme;Sommeil;04/01/2021 15:39:41;;24 Mois;72313;04/05/2018:Attente PV: Rémi Grimeau
EPE;A-ATEX-02;Field meter;;CEPE0036;-20/+20 kV;± 5% RV;Conforme;Alerte Etalonnage/Vérification;28/10/2020 00:00:00;28/10/2022 00:00:00;24 Mois;74314;04/05/2018:Attente PV: Rémi Grimeau
EPE;A-ATEX-02;Coulombmeter;;CEPE0037;0/1999 nC;Approach device;;Non soumis à l'étalonnage;;;;00759;
EPE;A-ATEX-02;Picoammeter;;CEPE0038;20  µA à 20 mA;± 1 nA;Conforme;En service;04/08/2022 15:47:02;04/08/2024 15:47:02;24 Mois;4380864;
EPE;A-ATEX-02;Field meter + Display;;CEPE0039;-20/+20 kV;± 5% RV;Conforme;Alerte Etalonnage/Vérification;28/10/2020 14:06:51;28/10/2022 14:06:51;24 Mois;160347/54877;04/05/2018:Attente PV: Rémi Grimeau
EPE;A-ATEX-02;Display of Field meter;;CEPE0040;-20/+20 kV;± 5% RV;Conforme;Alerte Etalonnage/Vérification;29/10/2020 00:00:00;29/10/2022 00:00:00;24 Mois;160346;04/05/2018:Attente PV: Rémi Grimeau
EPE;A-ATEX-02;Field meter;;CEPE0041;-20/+20 kV;± 5% RV;Conforme;Alerte Etalonnage/Vérification;29/10/2020 00:00:00;29/10/2022 00:00:00;24 Mois;72966;04/05/2018:Attente PV: Rémi Grimeau
EPE;A-ATEX-02;Field meter;;CEPE0042;-20/+20 kV;± 5% RV;Conforme;Sommeil;04/01/2021 00:00:00;;24 Mois;73216;04/05/2018:Attente PV: Rémi Grimeau
FEP;EPE-015;Graduated test tube;;CEPE0043;250 mL;aproch device;;Non soumis à l'étalonnage;;;;/;04/05/2018:Attente PV: Rémi Grimeau
EPE;R.GRIMEAU;Graduated test tube;;CEPE0044;250 mL;aproch device;;Non soumis à l'étalonnage;;;;/;04/05/2018:Attente PV: Rémi Grimeau
EPE;R.GRIMEAU;Graduated test tube;;CEPE0045;250 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;R.GRIMEAU;Graduated test tube;;CEPE0046;250 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;R.GRIMEAU;Graduated test tube;;CEPE0047;250 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;R.GRIMEAU;Graduated test tube;;CEPE0048;100 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;R.GRIMEAU;Graduated test tube;;CEPE0049;100 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;R.GRIMEAU;Graduated test tube;;CEPE0050;100 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;R.GRIMEAU;Graduated test tube;;CEPE0051;100 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;R.GRIMEAU;Graduated test tube;;CEPE0052;100 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;R.GRIMEAU;Graduated test tube;;CEPE0053;500 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;R.GRIMEAU;Graduated test tube;;CEPE0054;500 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;R.GRIMEAU;Graduated test tube;;CEPE0055;500 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;R.GRIMEAU;Graduated test tube;;CEPE0056;500 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;R.GRIMEAU;Graduated test tube;;CEPE0057;500 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;A-ATEX-03;Ruler;;CEPE0058;0/15 cm;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;A-ATEX-03;Ruler;;CEPE0059;0/30 cm;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;A-ATEX-03;Ruler;;CEPE0060;0/20 cm;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;A-ATEX-01;Pressure sensor;;CEPE0061;-500/+500 mbar;±4 mbar;;Réformé;;;;5584748;
EPE;A-ATEX-01;Pressure sensor;;CEPE0062;-400/+400 mbar;±2 mbar;Conforme;En service;06/09/2021 15:07:55;06/09/2023 15:07:55;24 Mois;5584747;
EPE;A-ATEX-01;Pressure sensor;;CEPE0063;-400/+400 mbar;±2 mbar;Conforme;En service;08/03/2022 10:18:12;08/03/2024 10:18:12;24 Mois;5584746;
EPE;FEP-020 SIMTEC 20 HZ;Pressure sensor;"Identification : CLAB0147, N° de Série : 12FC022
Identification : CLAB0068, N° de Série :  1A69376";CEPE0064;-400/+400 mbar;±0,5 mbar;Conforme;En service;26/04/2022 14:50:56;26/04/2024 14:50:56;24 Mois;5602704;
EPE;FEP-020 SIMTEC 20 HZ;Pressure sensor;"Identification : CLAB0068, N° de Série :  1A69376
Identification : CLAB0147, N° de Série : 12FC022";CEPE0065;0/10 bar;±20 mbar;Conforme;En service;24/02/2022 00:00:00;24/02/2024 00:00:00;24 Mois;5611153;
EPE;A-ATEX-01;Pressure sensor;"Identification : CLAB0147, N° de Série : 12FC022
Identification : CLAB0068, N° de Série :  1A69376";CEPE0066;-100/ 400 mbar;±0,5 mbar;Conforme;En service;17/08/2022 16:02:45;17/08/2024 16:02:45;24 Mois;5611852;
EPE;A-ATEX-01;Pressure sensor;"Identification : CLAB0068, N° de Série :  1A69376
Identification : CLAB0147, N° de Série : 12FC022";CEPE0067;-100/ 400 mbar;±0,5 mbar;;Perdu;;;;5611851;
EPE;ARMOIRE;Pressure sensor;"Identification : CLAB0147, N° de Série : 12FC022
Identification : CLAB0068, N° de Série :  1A69376";CEPE0068;-500/ 500 mbar;±2 mbar;Conforme;En service;08/03/2022 10:06:35;08/03/2024 10:06:35;24 Mois;56611853;
FEP;FEP-027 (STATION 1);Pressure sensor;"Identification : CLAB0150
Identification : CLAB0163, N° de Série : 146641D";CEPE0069;0/ 10 mbar;±20 mbar;;Réformé;;;;5611154;
EPE;ARMOIRE;Pressure sensor;;CEPE0070;0/ 100 mbar;±0,5 mbar;;Sommeil;;;;5608463;
EPE;A-ATEX-01;Pressure sensor;;CEPE0071;-500/ 500 mbar;±2 mbar;Conforme;En service;05/03/2020 10:54:43;06/08/2023 10:54:43;24 Mois;5611853;
EPE;A-ATEX-01;Pressure sensor;;CEPE0072;-1/+1 bar;±10 mbar;Conforme;En service;31/03/2022 11:13:48;31/03/2024 11:13:48;24 Mois;5743285;
EPE;A-ATEX-01;Pressure sensor;;CEPE0073;-500/+500 mbar;±4 mbar;Conforme;En service;21/04/2022 00:00:00;21/04/2024 00:00:00;24 Mois;5758505;
EPE;A-ATEX-01;Pressure sensor;;CEPE0074;-500/+500 mbar;±4 mbar;Conforme;En service;21/04/2022 11:49:51;21/04/2024 11:49:51;24 Mois;5758552;
EPE;A-ATEX-01;Pressure sensor;;CEPE0075;-500/+500 mbar;±4 mbar;Conforme;En service;21/04/2022 11:51:07;21/04/2024 11:51:07;24 Mois;5758554;
EPE;A-ATEX-01;Pressure sensor;;CEPE0076;-500/+500 mbar;±4 mbar;Conforme;En service;21/04/2022 11:52:27;21/04/2024 11:52:27;24 Mois;5758553;
EPE;A-ATEX-01;Pressure sensor;;CEPE0077;-500/ 500 mbar;±4 mbar;Conforme;En service;21/04/2022 11:56:29;21/04/2024 11:56:29;24 Mois;5758506;
EPE;A-ATEX-01;Pressure sensor;;CEPE0078;0/+100 mbar;±0,5 mbar;Conforme;En service;31/03/2022 14:48:18;31/03/2024 14:48:18;24 Mois;5754324;
FEP;FEP-027;Pressure sensor;"Identification : CLAB0163, N° de Série : 146641D
Identification : CLAB0150";CEPE0079;0/+10 bar;±20 mbar;Conforme;En service;07/10/2022 10:11:27;07/10/2024 10:11:27;24 Mois;5756717;
FEP;FEP-028;Pressure sensor;"Identification : CLAB0145, N° de Série : SANS
Identification : CLAB0167, N° de Série : 14FED73";CEPE0080;0/+10 bar;±20 mbar;Conforme;En service;07/10/2022 09:59:37;07/10/2024 09:59:37;24 Mois;5756716;
FEP;ZONE FEP;Graduated test tube;;CEPE0302;250 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
FEP;ZONE FEP;Graduated test tube;;CEPE0303;250 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
FEP;ZONE FEP;Graduated test tube;;CEPE0304;1 mL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
FEP;ZONE FEP;Graduated test tube;;CEPE0305;25 µL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
FEP;ZONE FEP;Graduated test tube;;CEPE0306;25 µL;aproch device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;FEP-020 SIMTEC 20 HZ;Stabilized power supply;;CEPE0307;Approach Device;Approach Device;;Non soumis à l'étalonnage;;;;;04/05/2018:Attente PV: Rémi Grimeau
EPE;ARMOIRE;Scale;;CEPE0308;0/ 220 g;±3 mg;;Sommeil;;;;31505036;04/05/2018:Attente PV: Rémi Grimeau
EPE;FEP-020 SIMTEC 20 HZ;Thermocouple;"Identification : CLAB0068, N° de Série :  1A69376
Identification : CLAB0078, N° de Série : HC1961435";CEPE0309;-40/+100 °C;±2 °C;Conforme;En service;27/04/2022 09:22:03;27/04/2024 09:22:03;24 Mois;na;REMPLACEMENT DU THERMOCOUPLE cfep0126 QUI EST hs
EPE;A-ATEX-01;PT 100;"Identification : CLAB0078, N° de Série : HC1961435
Identification : CLAB0068, N° de Série :  1A69376";CEPE0310;0/+100 °C;±2 °C;;Non soumis à l'étalonnage;;;;;REMPLACEMENT DU THERMOCOUPLE cfep0126 QUI EST hs
EPE;A-ATEX-01;Multimeter;;CEPE0311;"0/600 Ohm; 0/6 kOhm; 0/60 V DC; 0/10 A DC";"±0,6 Ohm; ±1 Ohm; ±40 mV; ±50 mA";Conforme;En service;23/11/2021 00:00:00;23/11/2023 00:00:00;24 Mois;51910009;REMPLACEMENT DU THERMOCOUPLE cfep0126 QUI EST hs
EPE;R-ATEX-01 (P. BAUDET);Multimeter;;CEPE0312;"0/600 Ohm; 0/6 kOhm; 0/60 V DC; 0/10 A DC";"±0,6 Ohm; ±1 Ohm; ±40 mV; ±50 mA";Conforme;En service;20/12/2021 00:00:00;20/12/2023 00:00:00;24 Mois;52400004;REMPLACEMENT DU THERMOCOUPLE cfep0126 QUI EST hs
EPE;FEP020 SIMTEC 20 HZ;Pressure sensor;;CEPE0313;400 / 1300 mbar;±10 mbar;Conforme;En service;20/05/2022 00:00:00;20/05/2024 00:00:00;24 Mois;5764340;REMPLACEMENT DU THERMOCOUPLE cfep0126 QUI EST hs
EPE;A-ATEX-01;Pressure sensor;;CEPE0314;-500/ 500 mbar;±4 mbar;Conforme;Sommeil;07/06/2022 00:00:00;;24 Mois;5760253;
EPE;A-ATEX-01;Pressure sensor;;CEPE0315;-500/ 500 mbar;±4 mbar;Conforme;Sommeil;07/06/2022 00:00:00;;24 Mois;5760252;
EPE;A-ATEX-01;Pressure sensor;;CEPE0316;-500/ 500 mbar;±4 mbar;Conforme;Sommeil;07/06/2022 00:00:00;;24 Mois;570251;
EPE;A-ATEX-01;Pressure sensor;;CEPE0317;-500/ 500 mbar;±4 mbar;Conforme;Sommeil;07/06/2022 00:00:00;;24 Mois;5760250;
EPE;A-ATEX-01;Pressure sensor;;CEPE0318;-500/ 500 mbar;±4 mbar;Conforme;Sommeil;07/06/2022 00:00:00;;24 Mois;5760249;
FEP;A-ATEX-03;Calibrated flask;;CFEP0001;20 L;±20 mL;Conforme;En service;17/03/2021 00:00:00;17/03/2026 00:00:00;60 Mois;1489;
FEP;FEP-005 (SALLE CHAUDE N°1);Soaking room;;CFEP0002;40 °C;±2°C;Conforme;En service;28/09/2021 11:19:20;28/09/2023 11:19:20;24 Mois;NA;"09/10/2017
modification alignement de la porte faite.
PA: vérification en interne avant de la passer à nouveau en étalonnage.

Utilisation restriction avec Thermocouple.


02/05/2018: Intervention BV à programmer.
                       Restriciton vérification avec Thermocouple.

12/07/2018: Restriction gammes 40°C  +/-2°C .
Réajustement du +/-0,5°C.
Réétalonnage à 40°C.

Vérification du cahier des charges et la rendre conforme à 60°C.

18/09/2018: Utilisation à 40°C + exclusion de la zone non conforme. Mesure définie par LOIC SALAUN.



"
FEP;FEP-006 (SALLE CHAUDE N°2);Soaking room;;CFEP0003;40 °C;±2 °C;Conforme;En service;31/08/2021 08:53:40;31/08/2023 08:53:40;24 Mois;NA;"réunion 02/02/2018: utilisation sous restriction avec thermocouple.

Informé M. Mercier.

02/05/2018: Intervention BV froid à prévoir.


12/07/2018:  Vérification étanchéité de la porte."
FEP;FEP-007 (SALLE CHAUDE N°3);Soaking room;;CFEP0004;40 °C;±2 °C;Conforme;En service;08/09/2021 11:28:12;08/09/2023 11:28:12;24 Mois;NA;
FEP;FEP-008 (SALLE CHAUDE N°4);Soaking room;;CFEP0005;40 °C;±2 °C;Conforme;En service;26/08/2021 10:45:53;26/08/2023 10:45:53;24 Mois;NA;"réunion 02/02/2018: Non conforme, Prévoir une maintenance. Utilisation avec Thermocouple contrôle régulier.

12/07/2018; Vérification étanchéité de la porte.+ brassage de la salle.

"
FEP;CANISTER ORVR;Scale;;CFEP0006;Réformé;Réformé;;Réformé;;;;NA;
FEP;FEP-028 (STATION 3);FEP-028 (station 3 diesel) Flow measuring chain;Identification : CFEP0047, N° de Série : 1A03436;CFEP0007-D;"0/120 L; 15/85 L/min";"±0,2 L; ±1 L/min";Conforme;En service;05/07/2022 15:44:09;05/07/2023 15:44:09;12 Mois;NA;
FEP;FEP-028 (STATION 3);FEP-028 (station 3 petrol) Flow measuring chain;Identification : CFEP0047, N° de Série : 1A03436;CFEP0008-E;"0/120 L; 15/65 L/min";"±0,2 L; ±1 L/min";Conforme;En service;05/07/2022 15:46:37;05/07/2023 15:46:37;12 Mois;NA;
FEP;FEP-029 (STATION 2);FEP-029 (station 2 diesel) Flow measuring chain;Identification : CFEP0046, N° de Série : 180A5B0;CFEP0009-D;"0/120 L; 15/85 L/min";"±0,2 L; ±1 L/min";;Réformé;;;;NA;
FEP;FEP-029 (STATION 2);FEP-029 (station 2 petrol) Flow measuring chain;Identification : CFEP0046, N° de Série : 180A5B0;CFEP0010-E;"0/120 L; 15/65 L/min";"±0,2 L; ±1 L/min";;Réformé;;;;NA;
FEP;FEP-010 (BANC POMPE ATEX);Thermocouple;;CFEP0011;Réformé;Réformé;;Réformé;;;;NA;
FEP;FEP-010 (BANC POMPE ATEX);Thermocouple;;CFEP0012;Réformé;Réformé;;Réformé;;;;NA;
FEP;FEP-010 (BANC POMPE ATEX);Thermocouple;;CFEP0013;Réformé;Réformé;;Réformé;;;;NA;
FEP;FEP-010 (BANC POMPE ATEX);Thermocouple;;CFEP0014;Réformé;Réformé;;Réformé;;;;NA;
FEP;FEP-010 (BANC POMPE ATEX);Thermocouple;;CFEP0015;Réformé;Réformé;;Réformé;;;;NA;
FEP;FEP-010 (BANC POMPE ATEX);Thermocouple;;CFEP0016;Réformé;Réformé;;Réformé;;;;NA;
FEP;FEP-010 (BANC POMPE ATEX);Thermocouple;;CFEP0017;Réformé;Réformé;;Réformé;;;;NA;
FEP;FEP-010 (BANC POMPE ATEX);Thermocouple;;CFEP0018;Réformé;Réformé;;Réformé;;;;NA;
FEP;FEP-010 (BANC POMPE ATEX);Pressure sensor;;CFEP0019;Réformé;Réformé;;Réformé;;;;NA;
FEP;FEP-010 (BANC POMPE ATEX);Pressure sensor;;CFEP0020;Réformé;Réformé;;Réformé;;;;NA;
FEP;FEP-010 (BANC POMPE ATEX);Pressure sensor;;CFEP0021;Réformé;Réformé;;Réformé;;;;NA;
FEP;FEP-010 (BANC POMPE ATEX);Liquid flowmeter;;CFEP0022;Réformé;Réformé;;Réformé;;;;NA;
FEP;FEP-010 (BANC POMPE ATEX);Liquid flowmeter;;CFEP0023;Réformé;Réformé;;Réformé;;;;NA;
FEP;FEP-036 (ORVR);Pressure sensor;"Identification : CLAB0015, N° de Série : 140288E
Identification : CLAB0285, N° de Série : 1378CC2";CFEP0024;800/1200 hPa;±5 hPa;Conforme;En service;09/06/2022 15:48:39;09/06/2024 15:48:39;24 Mois;NA;"400 / 1200 mbar


Impossible d'étalonner calcul soft pas bon
"
