Code;Identification;Désignation complète;Avis
PLAST-60;CCAL0637;Alimentation stabilisée / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0638;Alimentation stabilisée / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0639;Alimentation stabilisée / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0640;Alimentation stabilisée / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0641;Alimentation stabilisée / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0642;Alimentation stabilisée / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0643;Alimentation stabilisée / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0644;Alimentation stabilisée / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0645;Alimentation stabilisée / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0646;Alimentation stabilisée / 0/52V 1500W (Tol:+/-1%);Conforme
PLAST-60;CCAL0647;Thermocouple TYPE K -40/+100 °C (Tol:±2 °C);Conforme
PLAST-60;CCAL0648;Thermocouple TYPE K -40/+100 °C (Tol:±2 °C);Conforme
PLAST-60;CCAL0649;Thermocouple TYPE K -40/+100 °C (Tol:±2 °C);Conforme
PLAST-60;CCAL0650;Thermocouple TYPE K -40/+100 °C (Tol:±2 °C);Conforme
PLAST-60;CCAL0651;Current sensor / gammes constructeur (Tol:tolérance constructeur);Conforme
PLAST-60;CCAL0652;Current sensor / gammes constructeur (Tol:tolérance constructeur);Conforme
PLAST-60;CCAL0653;Oscilloscope / gammes constructeur (Tol:tolérance constructeur);Conforme
PLAST-60;CCAL0654;Differential probe / gammes constructeur (Tol:tolérance constructeur);Conforme
PLAST-60;CCAL0655;Current probe AC/DC / gammes constructeur (Tol:tolérance constructeur);Conforme
PLAST-60;CCAL0656;Battery impedance meter / gammes constructeur (Tol:tolérance constructeur);Conforme
PLAST-60;CCAL0657;Clé dynamométrique à lecture directe / 8/50 Nm (Tol:+/- 4%);Conforme
PLAST-60;CCAL0658;Clé dynamométrique à lecture directe / 5/25 Nm (Tol:+/- 6%);Conforme
PLAST-60;CCAL0660;Clé dynamométrique à lecture directe / 12/60 Nm (Tol:+/- 4%);Conforme
PLAST-60;CCAL0705;Alimentation stabilisée / 0/20 V  (Tol:±2 %);Conforme
PLAST-60;CCAL0706;Alimentation stabilisée / 0/60 V  (Tol:±2 %);Conforme
PLAST-60;CCAL0706-01;Alimentation stabilisée / 0/60 V  (Tol:±2 %);Conforme
PLAST-60;CCAL0706-02;Alimentation stabilisée / 0/60 V  (Tol:±2 %);Conforme
PLAST-60;CCAL0706-03;Alimentation stabilisée / 0/60 V  (Tol:±2 %);Conforme
PLAST-60;CCAL0706-04;Alimentation stabilisée / 0/60 V  (Tol:±2 %);Conforme
PLAST-60;CCAL0706-05;Alimentation stabilisée / 0/60 V  (Tol:±2 %);Conforme
PLAST-60;CCAL0706-06;Alimentation stabilisée / 0/60 V  (Tol:±2 %);Conforme
PLAST-60;CCAL0706-07;Alimentation stabilisée / 0/60 V  (Tol:±2 %);Conforme
PLAST-60;CCAL0711;Oscilloscope / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CCAL0712;Multimeter / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CCAL0714;Micro-ohmmeter / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CCAL0715;Multimeter / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CCAL0716;Générateur de fonction / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CCAL0719;Oscilloscope / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CCAL0720;Alimentation stabilisée / 0/30V 0/5A (Tol:+/-1%);Conforme
PLAST-60;CCAL0723;Clé dynamométrique à lecture directe / 0,5/2 Nm (Tol:+/- 6%);Conforme
PLAST-60;CCAL0724;Clé dynamométrique à lecture directe / 2/10 Nm (Tol:+/- 6%);Conforme
PLAST-60;CCOM0001;Pressure sensor - -100/+400 mbar (Tol:±0,5 mbar);Conforme
PLAST-60;CCOM0002;Gas flowmeter - 0/200 L/h (Tol:±3 %RV);Conforme
PLAST-60;CCOM0003;Gas flowmeter - 0/2000 L/h (Tol:±3 %RV);Conforme
PLAST-60;CCOM0004;Gas flowmeter - 0/6000 L/h (Tol:±3 %RV);Conforme
PLAST-60;CCOM0005;Liquid flowmeter LIQUIDE Réformé (Tol:Réformé);Non conforme
PLAST-60;CCOM0006;Liquid flowmeter LIQUIDE 0/145 L/h (Tol:±0,5 %RV);Conforme
PLAST-60;CCOM0007;"Ohmmeter - 0/1000 Ohm (Tol:±1 Ohm; 0/300 Ohm; ±2 Ohm; 300/1000 Ohm)";Conforme
PLAST-60;CCOM0008;"Ohmmeter - 0/1000 Ohm (Tol:±1 Ohm; 0/300 Ohm; ±2 Ohm; 300/1000 Ohm)";Conforme
PLAST-60;CCOM0009;"Ohmmeter - 0/1000 Ohm (Tol:±1 Ohm; 0/300 Ohm; ±2 Ohm; 300/1000 Ohm)";Conforme
PLAST-60;CCOM0010;"Ohmmeter - 0/1000 Ohm (Tol:±1 Ohm; 0/300 Ohm; ±2 Ohm; 300/1000 Ohm)";Conforme
PLAST-60;CCOM0011;"Ohmmeter - 0/1000 Ohm (Tol:±1 Ohm; 0/300 Ohm; ±2 Ohm; 300/1000 Ohm)";Conforme
PLAST-60;CCOM0012;"Ohmmeter - 0/1000 Ohm (Tol:±1 Ohm; 0/300 Ohm; ±2 Ohm; 300/1000 Ohm)";Conforme
PLAST-60;CCOM0013;"Ohmmeter - 0/1000 Ohm (Tol:±1 Ohm; 0/300 Ohm; ±2 Ohm; 300/1000 Ohm)";Conforme
PLAST-60;CCOM0014;"Ohmmeter - 0/1000 Ohm (Tol:±1 Ohm; 0/300 Ohm; ±2 Ohm; 300/1000 Ohm)";Conforme
PLAST-60;CCOM0015;"Ohmmeter - 0/1000 Ohm (Tol:±1 Ohm; 0/300 Ohm; ±2 Ohm; 300/1000 Ohm)";Conforme
PLAST-60;CCOM0016;"Ohmmeter - 0/1000 Ohm (Tol:±1 Ohm; 0/300 Ohm; ±2 Ohm; 300/1000 Ohm)";Conforme
PLAST-60;CCOM0017;"Ohmmeter - 0/1000 Ohm (Tol:±1 Ohm; 0/300 Ohm; ±2 Ohm; 300/1000 Ohm)";Conforme
PLAST-60;CCOM0018;"Ohmmeter - 0/1000 Ohm (Tol:±1 Ohm; 0/300 Ohm; ±2 Ohm; 300/1000 Ohm)";Conforme
PLAST-60;CCOM0020;Volumeter - 0/120 L (Tol:±0,1 %RV);Non conforme
PLAST-60;CCOM0021;Volumeter - 0/120 L (Tol:±0,1 %RV);Non conforme
PLAST-60;CCOM0022;Pressure sensor - Réformé (Tol:Réformé);Non conforme
PLAST-60;CCOM0023;Pressure sensor - Réformé (Tol:Réformé);Conforme
PLAST-60;CCOM0026;Stabilized power supply - Approach device (Tol:Approach device);Voir résultats dans Certificat
PLAST-60;CCOM0027;Pressure sensor - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0028;Ohmmeter - 5/400 400/650 Ohm (Tol:±1 Ohm  ±2 Ohm );Conforme
PLAST-60;CCOM0029;Volumeter - 0/120 L (Tol:±0,1 %RV);Conforme
PLAST-60;CCOM0031;Ohmmeter - 5/400 400/650 Ohm (Tol:±1 Ohm  ±2 Ohm );Conforme
PLAST-60;CCOM0032;Volumeter - 0/120 L (Tol:±0,1 %RV);Conforme
PLAST-60;CCOM0033;Volumeter - Réformé (Tol:Réformé);Non conforme
PLAST-60;CCOM0034;"Volumeter - 0/120 L; 15/50 L/min (Tol:±1%RV; ±1 L/min)";Conforme
PLAST-60;CCOM0035;"Pressure sensor DIFFERENTIEL 2/199 Pa; -200/+200 mbar;-999/+999 mbar(to be confirmed) (Tol:±0,04 Pa; ±0,06 mbar; ±0,2 mbar; to be confimed)";Conforme
PLAST-60;CCOM0038;"Screwdriver - 50-120Nm; 40 tr/min; 180° (Tol:±5%, ±5%,± 5° )";Conforme
PLAST-60;CCOM0040;Standard leak - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0041;Standard leak - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0042;Standard leak - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0043;Standard leak - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0044;Standard leak - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0045;Standard leak - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0046;Standard leak - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0047;Standard leak - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0050;Pressure sensor - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0051;Thermocouple TYPE J Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0052;Flowmeter - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0053;Flowmeter - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0054;Flowmeter - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0055;Flowmeter - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0056;Banc test clapet usa - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0057;Flowmeter - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0058;Pressure sensor - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0059;Flowmeter - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0060;Liquid flowmeter LIQUIDE Approach device (Tol:Approach device);Non conforme
PLAST-60;CCOM0062;"Multimeter ANALOGIQUE ET NUMERIQUE 0/600 Ohm; 0/6 kOhm; 0/60 V DC; 0/10 A DC (Tol:±0,3 Ohm; ±1 Ohm; ±40 mV; ±50 mA)";Conforme
PLAST-60;CCOM0063;Inclinometer - 0/90 ° (Tol:±0,10 °);Conforme
PLAST-60;CCOM0064;Depth gauge A COULISSEAU 0/300 mm (Tol:±0,1 mm);Conforme
PLAST-60;CCOM0065;Banc d'essai TEST D'ETANCHEITE Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CCOM0067;Pressure sensor - 0 / 50 mbar (Tol:± 0,1 mbar);Voir résultats dans Certificat
PLAST-60;CCOM0068;Frequency measuring chain - 0/1,8 Hz (Tol:±0,1 Hz);Conforme
PLAST-60;CCOM0069;Ruler - 0/1000 mm (Tol:±0,5 mm);Conforme
PLAST-60;CCOM0071;Displacement transducer - -25/+25 mm (Tol:±0,1 mm);Conforme
PLAST-60;CCOM0072;Displacement transducer - -25/+25 mm (Tol:±0,1 mm);Conforme
PLAST-60;CCOM0073;Pressure sensor - 0/100 mbar (Tol:±0,1 mbar);Conforme
PLAST-60;CCOM0074;Pressure sensor - 0/100 mbar (Tol:±0,1 mbar);Conforme
PLAST-60;CCOM0075;Height gauge - 0/600 mm (Tol:±0,01 mm);Conforme
PLAST-60;CCOM0078;Pressure sensor - -300/+300 mbar (Tol:±2,5 mbar);Conforme
PLAST-60;CCOM0079;Scale NUMERIQUE 0/30 kg (Tol:±1 g);Conforme
PLAST-60;CCOM0080;Pressure sensor - 0/100 mbar (Tol:±0,1 mbar);Conforme
PLAST-60;CCOM0081;Thickness gauge - 0/100 mm (Tol:±4 µm);Conforme
PLAST-60;CCOM0082;Pressure sensor - 0/100 mbar (Tol:±0,1 mbar);Conforme
PLAST-60;CCOM0083;Gas flowmeter GAZ 7,1/283 L/min (Tol:±2 %FS);Conforme
PLAST-60;CCOM0084;Gas flowmeter GAZ 7,1/283 L/min (Tol:±2 %FS);Conforme
PLAST-60;CCOM0086;Pressure sensor - 0/100 mbar (Tol:±0,1 mbar);Conforme
PLAST-60;CCOM0087;Height gauge - 0/600 mm (Tol:±0,05 mm);Conforme
PLAST-60;CCOM0088;Digital Manometer / -350/350 mbar (Tol:±2,5 mbar);Conforme
PLAST-60;CDEV0004;Balance Numérique 0/3 Kg (Tol:+/- 1 g);Conforme
PLAST-60;CDEV0006;Trusquin / 0/ 600 mm (Tol:+/- 0,01mm);Conforme
PLAST-60;CDEV0007;Pige etalon jeu de 91 piges To be defined (Tol:To be defined);Conforme
PLAST-60;CDEV0008;Slide Gauge / 0/150 mm (Tol:+/- 0,1mm);Conforme
PLAST-60;CDEV0009;Jauge de profondeur àcoulisseau 0/300 mm (Tol:+/- 0,1mm);Conforme
PLAST-60;CDEV0010;Pied à coulisse Universel 0/300 mm (Tol:+/- 0,1mm);Conforme
PLAST-60;CDEV0026;Cale étalon de rugosité étalon To be defined (Tol:To be defined);Conforme
PLAST-60;CDEV0028;Micromètre d'extérieur / To be defined (Tol:To be defined);Conforme
PLAST-60;CEMI0001;Thermostatic chamber - 18/42 °C (Tol:±1,5 °C);Conforme
PLAST-60;CEMI0002;Pressure sensor - 970/1050 hPa (Tol:±5 hPa);Conforme
PLAST-60;CEMI0003;Thermostatic chamber - 18/42 °C (Tol:±1,5 °C);Conforme
PLAST-60;CEMI0004;Scale NUMERIQUE At 220 g (Tol:±0,02 g);Conforme
PLAST-60;CEMI0005;Helium detector - 1.10-6/1.10-4 mbar L/s (Tol:±10 %RV);Conforme
PLAST-60;CEMI0006;Scale NUMERIQUE 0/1 kg (Tol:±0,2 g);Conforme
PLAST-60;CEMI0007;Scale NUMERIQUE 0/1 kg (Tol:±0,2 g);Conforme
PLAST-60;CEMI0008;Torque wrench REGLABLE 2/5 Nm (Tol:±0,2 Nm);Conforme
PLAST-60;CEMI0009;Pressure sensor - 970/1050 hPa (Tol:±5 hPa);Conforme
PLAST-60;CEMI0010;Flame Ionization Detector (F.I.D.) / Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CEMI0011;thermostatic chamber - 40 °C (Tol:±1,5 °C);Conforme
PLAST-60;CEMI0012;Pressure sensor ATMOSPHERIQUE 970/1050 hPa (Tol:±5 hPa);Conforme
PLAST-60;CEMI0013;Pressure sensor DIFFERENTIEL 800/1200 hPa (Tol:±5 hPa);Conforme
PLAST-60;CEMI0014;Pressure sensor ATMOSPHERIQUE 970/1050 hPa (Tol:±5 hPa);Conforme
PLAST-60;CEMI0015;Pressure sensor DIFFERENTIEL 800/1200 hPa (Tol:±5 hPa);Conforme
PLAST-60;CEMI0016;Flame Ionization Detector (F.I.D.) - 0-50 ppm C3H8 (Tol:± 0.5%);Conforme
PLAST-60;CEMI0017;Flame Ionization Detector (F.I.D.) - 0-50 ppm C3H8 (Tol:± 0.5%);Conforme
PLAST-60;CEMI0018;Flame Ionization Detector (F.I.D.) / Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CEMI0019;Flame Ionization Detector (F.I.D.) / Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CEMI0020;Flame Ionization Detector (F.I.D.) / 0-50 ppm C (Tol:± 0.5%);Conforme
PLAST-60;CEMI0021;Pressure sensor ATMOSPHERIQUE 970/1050 hPa (Tol:±5 hPa);Conforme
PLAST-60;CEMI0022;Pressure sensor DIFFERENTIEL 800/1200 hPa (Tol:±5 hPa);Conforme
PLAST-60;CEMI0023;Thermostatic chamber - 18/42 °C (Tol:±1,5 °C);Conforme
PLAST-60;CEMI0024;Pressure sensor - Approach device (Tol:Approach device);Voir résultats dans Certificat
PLAST-60;CEMI0025;Thermohygrometer - 20/80 %HR (Tol:±5 %HR);Conforme
PLAST-60;CEMI0026;Gas flowmeter butane 0 / 50 g/h (Tol:±1 g/h);Conforme
PLAST-60;CEMI0027;Gas flowmeter GAZ 0 / 23,2 g/h (Tol:±1 g/h);Conforme
PLAST-60;CEMI0028;Gas flowmeter GAZ 0 / 100 l/min (Tol:±1 %FS);Conforme
PLAST-60;CEMI0029;Gas flowmeter gaz 0 / 50 g/h (Tol:±1 g/h);Conforme
PLAST-60;CEMI0030;Gas flowmeter GAZ 0 / 23,2 g/h (Tol:±1 g/h);Conforme
PLAST-60;CEMI0031;Gas flowmeter GAZ 0 / 100 l/min (Tol:±1 %FS);Conforme
PLAST-60;CEMI0033;Pressure sensor - -1/0,6 Bar (Tol:±0,5 mbar);Conforme
PLAST-60;CEMI0035;Volumeter - 400/700 L (Tol:±1 %RV);Conforme
PLAST-60;CEMI0036;Volumeter - 400/700 L (Tol:±1 %RV);Conforme
PLAST-60;CEMI0037;Scale NUMERIQUE 0/6 kg (Tol:±1 g);Conforme
PLAST-60;CEMI0040;Volumeter - 400/700 L (Tol:±1 %RV);Conforme
PLAST-60;CEMI0043;Standard leak - Réformé (Tol:Réformé);
PLAST-60;CEMI0044;Standard leak - Réformé (Tol:Réformé);
PLAST-60;CEMI0045;Standard leak - Réformé (Tol:Réformé);
PLAST-60;CEMI0046;Standard leak - Réformé (Tol:Réformé);
PLAST-60;CEMI0047;Standard leak - Réformé (Tol:Réformé);
PLAST-60;CEMI0048;Standard leak - Réformé (Tol:Réformé);
PLAST-60;CEMI0049;Standard leak - Réformé (Tol:Réformé);
PLAST-60;CEMI0050;Standard leak - Réformé (Tol:Réformé);
PLAST-60;CEMI0051;Standard leak - Réformé (Tol:Réformé);
PLAST-60;CEMI0052;Standard leak - Réformé (Tol:Réformé);
PLAST-60;CEMI0053;Standard leak - Réformé (Tol:Réformé);
PLAST-60;CEMI0054;Standard leak - Réformé (Tol:Réformé);
PLAST-60;CEMI0055;Standard leak - Réformé (Tol:Réformé);
PLAST-60;CEMI0056;Flame Ionization Detector (F.I.D.) / 0-50 ppm C (Tol:±0,5 %);Conforme
PLAST-60;CEMI0057;Flame Ionization Detector (F.I.D.) / 0-50 ppm C (Tol:±0,5 %);Conforme
PLAST-60;CEMI0058;Flame Ionization Detector (F.I.D.) / 0-500 ppm C (Tol:±0,5 %);Conforme
PLAST-60;CEMI0060;Flame Ionization Detector (F.I.D.) - 0-50 ppm C (Tol:±0,5 %);Conforme
PLAST-60;CEMI0061;Thermostatic chamber - 18/42 °C (Tol:±1,5 °C);Conforme
PLAST-60;CEMI0062;Pressure sensor ATMOSPHERIQUE 970/1050 hPa (Tol:±5 hPa);Conforme
PLAST-60;CEMI0063;Pressure sensor DIFFERENTIEL 800/1200 hPa (Tol:±5 hPa);Conforme
PLAST-60;CEMI0064;Volumeter - 400/700 L (Tol:±1 %RV);Conforme
PLAST-60;CEMI0065;Torquemeter - 0,5 / 2,5 Nm (Tol:±6 %RV);Conforme
PLAST-60;CEMI0066;Flame Ionization Detector (F.I.D.) / 0-500 ppm C (Tol:±0,5 %);Conforme
PLAST-60;CEPE0001;Climatic chamber - 20/55 °C (Tol:±2 °C);Conforme après intervention
PLAST-60;CEPE0002;Pressure sensor ABSOLU Approach Device (Tol:Approach Device);Conforme
PLAST-60;CEPE0003;Pressure sensor - Perdu (Tol:Perdu);
PLAST-60;CEPE0004;Volumeter - Réformé (Tol:Réformé);Non conforme
PLAST-60;CEPE0005;Chronometer DECLENCHEMENT 0/15 min (Tol:±1 s);Conforme
PLAST-60;CEPE0006;Pressure gauge PRESSION RELATIVE -1/+3 bar (Tol:±10 mbar);Conforme
PLAST-60;CEPE0007;Soaking room - 20/80 °C (Tol:Approach device);Conforme
PLAST-60;CEPE0008;Enceinte thermostatique / 55°C (Tol:± 5°C);Conforme
PLAST-60;CEPE0010;RVP measuring device - 0/20 Psi (Tol:±0,2 Psi);Conforme
PLAST-60;CEPE0011;Pressure gauge PRESSION RELATIVE Réformé (Tol:Réformé);Conforme
PLAST-60;CEPE0012;RVP measuring device - 0/20 Psi (Tol:±0,2 Psi);Conforme
PLAST-60;CEPE0013;Chronometer DECLENCHEMENT MANUEL Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CEPE0014;Gas flowmeter / 0/100 L/min (Tol:±1 %FS);Conforme
PLAST-60;CEPE0015;Scanner - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CEPE0016;"Multimeter ANALOGIQUE ET NUMERIQUE 0/500 Ohm; 0/5 kOhm; 0/50 V DC; 0/500 mA DC (Tol:±0,1 Ohm; ±1 Ohm; ±20 mV; ±1 mA )";Non conforme
PLAST-60;CEPE0022;Inclinometer - 0/90 ° (Tol:±0,10 °);Conforme
PLAST-60;CEPE0023;Pressure sensor - -400/+400 mbar (Tol:±0,5 mbar);Conforme après intervention
PLAST-60;CEPE0024;Gas flowmeter GAZ 7,1/283 L/min (Tol:Approach device);Non conforme
PLAST-60;CEPE0025;Gas flowmeter GAZ 0/150 L/min (Tol:±45 L/min);Conforme
PLAST-60;CEPE0026;Scale NUMERIQUE 0/300 kg (Tol:±50 g);Conforme
PLAST-60;CEPE0028;Pressure sensor - -400/+400 mbar (Tol:±0,5 mbar);Conforme
PLAST-60;CEPE0029;Scale NUMERIQUE 0/30 kg (Tol:±1 g);Conforme
PLAST-60;CEPE0030;Thickness gauge - 0/100 mm (Tol:±4 µm);Conforme
PLAST-60;CEPE0031;Volumeter - 0/120 L (Tol:±1 %RV);Non conforme
PLAST-60;CEPE0032;Gas flowmeter GAZ 7,1/283 L/min (Tol:±2 %FS);Conforme
PLAST-60;CEPE0033;Gas flowmeter GAZ 7,1/283 L/min (Tol:±2 %FS);Conforme
PLAST-60;CEPE0034;Scanner - According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CEPE0035;Field meter - -20/+20 kV (Tol:± 5% RV);Conforme
PLAST-60;CEPE0036;Field meter - -20/+20 kV (Tol:± 5% RV);Conforme
PLAST-60;CEPE0038;Picoammeter / 20  µA à 20 mA (Tol:± 1 nA);Conforme
PLAST-60;CEPE0039;Field meter + Display / -20/+20 kV (Tol:± 5% RV);Conforme
PLAST-60;CEPE0040;Display of Field meter / -20/+20 kV (Tol:± 5% RV);Conforme
PLAST-60;CEPE0041;Field meter - -20/+20 kV (Tol:± 5% RV);Conforme
PLAST-60;CEPE0042;Field meter - -20/+20 kV (Tol:± 5% RV);Conforme
PLAST-60;CEPE0061;Pressure sensor - -500/+500 mbar (Tol:±4 mbar);Non conforme
PLAST-60;CEPE0062;Pressure sensor - -400/+400 mbar (Tol:±2 mbar);Conforme
PLAST-60;CEPE0063;Pressure sensor - -400/+400 mbar (Tol:±2 mbar);Conforme
PLAST-60;CEPE0064;Pressure sensor - -400/+400 mbar (Tol:±0,5 mbar);Conforme
PLAST-60;CEPE0065;Pressure sensor - 0/10 bar (Tol:±20 mbar);Conforme
PLAST-60;CEPE0066;Pressure sensor - -100/ 400 mbar (Tol:±0,5 mbar);Conforme
PLAST-60;CEPE0067;Pressure sensor - -100/ 400 mbar (Tol:±0,5 mbar);Conforme
PLAST-60;CEPE0068;Pressure sensor - -500/ 500 mbar (Tol:±2 mbar);Conforme
PLAST-60;CEPE0069;Pressure sensor - 0/ 10 mbar (Tol:±20 mbar);Conforme
PLAST-60;CEPE0071;Pressure sensor - -500/ 500 mbar (Tol:±2 mbar);Conforme
PLAST-60;CEPE0072;Pressure sensor - -1/+1 bar (Tol:±10 mbar);Conforme
PLAST-60;CEPE0073;Pressure sensor - -500/+500 mbar (Tol:±4 mbar);Conforme
PLAST-60;CEPE0074;Pressure sensor - -500/+500 mbar (Tol:±4 mbar);Conforme
PLAST-60;CEPE0075;Pressure sensor - -500/+500 mbar (Tol:±4 mbar);Conforme
PLAST-60;CEPE0076;Pressure sensor - -500/+500 mbar (Tol:±4 mbar);Conforme
PLAST-60;CEPE0077;Pressure sensor - -500/ 500 mbar (Tol:±4 mbar);Conforme
PLAST-60;CEPE0078;Pressure sensor - 0/+100 mbar (Tol:±0,5 mbar);Conforme
PLAST-60;CEPE0079;Pressure sensor - 0/+10 bar (Tol:±20 mbar);Conforme
PLAST-60;CEPE0080;Pressure sensor - 0/+10 bar (Tol:±20 mbar);Conforme
PLAST-60;CEPE0309;Thermocouple TYPE K -40/+100 °C (Tol:±2 °C);Conforme
PLAST-60;CEPE0311;"Multimeter / 0/600 Ohm; 0/6 kOhm; 0/60 V DC; 0/10 A DC (Tol:±0,6 Ohm; ±1 Ohm; ±40 mV; ±50 mA)";Conforme
PLAST-60;CEPE0312;"Multimeter / 0/600 Ohm; 0/6 kOhm; 0/60 V DC; 0/10 A DC (Tol:±0,6 Ohm; ±1 Ohm; ±40 mV; ±50 mA)";Conforme
PLAST-60;CEPE0313;Pressure sensor ABSOLU 400 / 1300 mbar (Tol:±10 mbar);Conforme
PLAST-60;CEPE0314;Pressure sensor - -500/ 500 mbar (Tol:±4 mbar);Conforme
PLAST-60;CEPE0315;Pressure sensor - -500/ 500 mbar (Tol:±4 mbar);Conforme
PLAST-60;CEPE0316;Pressure sensor - -500/ 500 mbar (Tol:±4 mbar);Conforme
PLAST-60;CEPE0317;Pressure sensor - -500/ 500 mbar (Tol:±4 mbar);Conforme
PLAST-60;CEPE0318;Pressure sensor - -500/ 500 mbar (Tol:±4 mbar);Conforme
PLAST-60;CFEP0001;Calibrated flask - 20 L (Tol:±20 mL);Conforme
PLAST-60;CFEP0002;Soaking room - 40 °C (Tol:±2°C);Conforme
PLAST-60;CFEP0003;Soaking room - 40 °C (Tol:±2 °C);Conforme
PLAST-60;CFEP0004;Soaking room - 40 °C (Tol:±2 °C);Conforme
PLAST-60;CFEP0005;Soaking room - 40 °C (Tol:±2 °C);Conforme
PLAST-60;CFEP0006;Scale NUMERIQUE Réformé (Tol:Réformé);Non conforme
PLAST-60;CFEP0007-D;"FEP-028 (station 3 diesel) Flow measuring chain - 0/120 L; 15/85 L/min (Tol:±0,2 L; ±1 L/min)";Conforme
PLAST-60;CFEP0008-E;"FEP-028 (station 3 petrol) Flow measuring chain - 0/120 L; 15/65 L/min (Tol:±0,2 L; ±1 L/min)";Conforme
PLAST-60;CFEP0009-D;"FEP-029 (station 2 diesel) Flow measuring chain - 0/120 L; 15/85 L/min (Tol:±0,2 L; ±1 L/min)";Conforme
PLAST-60;CFEP0010-E;"FEP-029 (station 2 petrol) Flow measuring chain - 0/120 L; 15/65 L/min (Tol:±0,2 L; ±1 L/min)";Conforme
PLAST-60;CFEP0011;Thermocouple TYPE PT100 Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CFEP0012;Thermocouple TYPE PT100 Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CFEP0013;Thermocouple TYPE PT100 Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CFEP0015;Thermocouple TYPE PT100 Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CFEP0016;Thermocouple TYPE PT100 Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CFEP0017;Thermocouple TYPE PT100 Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CFEP0018;Thermocouple TYPE PT100 Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CFEP0019;Pressure sensor - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CFEP0020;Pressure sensor - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CFEP0021;Pressure sensor - Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CFEP0022;Liquid flowmeter LIQUIDE Réformé (Tol:Réformé);Voir résultats dans Certificat
PLAST-60;CFEP0023;Liquid flowmeter LIQUIDE Réformé (Tol:Réformé);Voir résultats dans Certificat
